name,description,category,price,discount,quantity
LED Desk Lamp,Adjustable brightness and USB charging port,Home Decor,2300,12,25
Gaming Keyboard,RGB backlit mechanical keyboard,Electronics,6500,20,30
Running Shoes,Breathable and lightweight sports shoes,Fashion,4800,18,50
Wireless Earbuds,Noise-cancelling with long battery life,Audio,5200,15,40
Office Chair,Ergonomic mesh chair with lumbar support,Furniture,9900,10,12
Smart Watch,Fitness tracking and notifications,Wearables,7500,17,35
Bluetooth Speaker,Portable waterproof speaker,Audio,3100,22,60
Laptop Stand,Adjustable aluminum laptop stand,Office Supplies,2700,14,45
Electric Kettle,Stainless steel fast boil kettle,Appliances,4200,11,28
Backpack,Water-resistant laptop backpack,Accessories,3600,19,38
