name,description,price,quantity
Gaming Console,High-performance gaming console,450,20
Bluetooth Speaker,Portable Bluetooth speaker,75,50
Digital Camera,DSLR camera with HD recording,600,10
External Hard Drive,2TB USB 3.0 external HDD,120,30
Flash Drive,64GB USB flash drive,15,100
Smart Thermostat,Wi-Fi enabled smart thermostat,250,12
Smart Light Bulb,Color changing LED smart bulb,30,60
Drone,Quadcopter with HD camera,300,8
VR Headset,Virtual reality headset,350,6
Fitness Tracker,Waterproof fitness tracker,80,40
